feedback_id,sentence,word_count
FB_00001,slide giáo trình đầy đủ .,6
FB_00002,"nhiệt tình giảng dạy , gần gũi với sinh viên .",11
FB_00003,đi học đầy đủ full điểm chuyên cần .,9
FB_00004,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,18
FB_00005,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",15
FB_00006,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",28
FB_00007,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",18
FB_00008,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",14
FB_00009,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",30
FB_00010,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,16
FB_00011,thầy rất tận tình và đi dạy rất đúng giờ .,11
FB_00012,dễ bị áp lực .,5
FB_00013,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",16
FB_00014,môn học còn dễ cần nâng độ khó lên nữa .,11
FB_00015,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",30
FB_00016,hài lòng về tất cả .,6
FB_00017,"nhiệt tình , vui vẻ .",6
FB_00018,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,13
FB_00019,phong cách giảng bài của thầy rất gần gũi với sinh viên !,13
FB_00020,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,13
FB_00021,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,27
FB_00022,tiết học thoải mái .,5
FB_00023,"thầy nhiệt tình , quan tâm tới sinh viên .",10
FB_00024,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",15
FB_00025,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",14
FB_00026,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,12
FB_00027,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,40
FB_00028,nên biên soạn một tài liệu của chính trường ta .,11
FB_00029,không giúp đỡ sinh viên trong những vấn đề xung quanh .,12
FB_00030,"bài tập đa dạng , cụ thể .",8
FB_00031,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",36
FB_00032,slide up đầy đủ trước mỗi buổi học .,9
FB_00033,"nội dung giảng dạy quá nhàm chán , khô khan .",11
FB_00034,lượng kiến thức quá nhiều trong một học kỳ .,10
FB_00035,thầy chép bảng nhiều .,5
FB_00036,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",17
FB_00037,"chúc các thầy cô , anh chị làm việc vui vẻ !",12
FB_00038,"hay , nhiệt tình , dễ hiểu .",8
FB_00039,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",25
FB_00040,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",34
FB_00041,hy vọng học kỳ sau có thể học được với cô .,12
FB_00042,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,24
FB_00043,trong khi giảng nói nhỏ quá .,7
FB_00044,thực hành khó hiểu .,5
FB_00045,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",26
FB_00046,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",32
FB_00047,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",15
FB_00048,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",23
FB_00049,"thầy nhiệt tình , dễ chịu .",7
FB_00050,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",38
FB_00051,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,27
